age,race,sex,ethnicity,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,,,,,,,,,
16-19,white,females,all,81,68,70,55,103,164,126,98,66,90,53,45,101,64,78,56,107,149,159,96,81,63,77,83,96,90,75,137,183,250,159,124,122,101,95,117,139,74,87,,,,,,,,,
20-24,white,females,all,179,197,181,191,247,307,230,209,178,233,200,208,232,214,161,152,227,238,258,278,193,168,173,171,199,238,237,706,775,741,719,470,377,304,275,315,330,306,315,,,,,,,,,
25-54,white,females,all,880,913,820,771,813,935,1047,976,754,752,794,755,952,868,827,661,689,871,985,982,837,854,761,678,744,751,892,3361,3104,2680,2595,2064,1799,1492,1402,1438,1426,1480,1407,,,,,,,,,
55+,white,females,all,286,295,309,233,215,281,351,311,223,212,239,220,311,251,272,228,253,314,333,310,253,217,199,209,253,211,279,1178,1090,871,927,787,682,531,535,573,476,452,431,,,,,,,,,
16-19,black_african_american,females,all,21,39,54,51,22,52,58,44,35,46,33,18,34,63,44,28,58,64,48,27,29,30,28,39,54,37,44,31,60,54,56,65,40,42,28,48,19,20,26,,,,,,,,,
20-24,black_african_american,females,all,135,59,77,60,74,86,151,108,82,51,68,79,115,116,94,50,86,95,132,64,103,98,88,80,130,97,87,210,226,225,194,224,160,116,136,89,135,140,151,,,,,,,,,
25-54,black_african_american,females,all,424,449,370,332,267,295,362,389,300,314,293,339,390,319,322,304,274,283,311,310,246,309,289,323,358,321,343,817,925,832,740,699,642,577,548,453,569,567,565,,,,,,,,,
55+,black_african_american,females,all,48,52,79,41,62,82,96,77,80,65,47,43,41,43,56,62,66,95,80,59,77,80,52,52,52,41,57,221,220,153,194,132,126,93,101,126,103,101,81,,,,,,,,,
16-19,asian,females,all,0,5,0,0,4,4,0,7,0,5,5,6,0,13,9,0,0,12,0,0,3,0,0,0,0,0,4,7,0,0,10,1,5,3,3,0,0,0,0,,,,,,,,,
20-24,asian,females,all,15,20,15,13,16,32,27,27,41,24,14,18,16,32,9,13,10,2,12,17,12,16,18,28,26,17,11,42,36,50,60,52,38,38,32,39,54,24,24,,,,,,,,,
25-54,asian,females,all,89,87,70,96,41,77,82,84,68,85,60,57,72,91,107,57,47,63,54,71,46,73,83,84,111,105,128,346,410,352,357,211,224,224,234,174,215,169,144,,,,,,,,,
55+,asian,females,all,29,35,25,15,11,16,13,5,14,17,16,18,21,23,5,19,20,10,21,15,12,25,20,11,29,7,17,125,90,97,87,86,88,58,53,52,57,43,50,,,,,,,,,
